Id	LotFrontage	LotArea	Street	Neighborhood	YearBuilt	YearRemodAdd	CentralAir	PavedDrive	SaleCondition	SalePrice
1	65	8450	Pave	CollgCr	2003	2003	Y	Y	Normal	208500
2	80	9600	Pave	Veenker	1976	1976	Y	Y	Normal	181500
3	68	11250	Pave	CollgCr	2001	2002	Y	Y	Normal	223500
4	60	9550	Pave	Crawfor	1915	1970	Y	Y	Abnorml	140000
5	84	14260	Pave	NoRidge	2000	2000	Y	Y	Normal	250000
6	85	14115	Pave	Mitchel	1993	1995	Y	Y	Normal	143000
7	75	10084	Pave	Somerst	2004	2005	Y	Y	Normal	307000
8	NA	10382	Pave	NWAmes	1973	1973	Y	Y	Normal	200000
9	51	6120	Pave	OldTown	1931	1950	Y	Y	Abnorml	129900
10	50	7420	Pave	BrkSide	1939	1950	Y	Y	Normal	118000
11	70	11200	Pave	Sawyer	1965	1965	Y	Y	Normal	129500
12	85	11924	Pave	NridgHt	2005	2006	Y	Y	Partial	345000
13	NA	12968	Pave	Sawyer	1962	1962	Y	Y	Normal	144000
14	91	10652	Pave	CollgCr	2006	2007	Y	Y	Partial	279500
15	NA	10920	Pave	NAmes	1960	1960	Y	Y	Normal	157000
16	51	6120	Pave	BrkSide	1929	2001	Y	Y	Normal	132000
17	NA	11241	Pave	NAmes	1970	1970	Y	Y	Normal	149000
18	72	10791	Pave	Sawyer	1967	1967	Y	Y	Normal	90000
19	66	13695	Pave	SawyerW	2004	2004	Y	Y	Normal	159000
20	70	7560	Pave	NAmes	1958	1965	Y	Y	Abnorml	139000
21	101	14215	Pave	NridgHt	2005	2006	Y	Y	Partial	325300
22	57	7449	Pave	IDOTRR	1930	1950	Y	N	Normal	139400
23	75	9742	Pave	CollgCr	2002	2002	Y	Y	Normal	230000
24	44	4224	Pave	MeadowV	1976	1976	Y	Y	Normal	129900
25	NA	8246	Pave	Sawyer	1968	2001	Y	Y	Normal	154000
26	110	14230	Pave	NridgHt	2007	2007	Y	Y	Normal	256300
27	60	7200	Pave	NAmes	1951	2000	Y	Y	Normal	134800
28	98	11478	Pave	NridgHt	2007	2008	Y	Y	Normal	306000
29	47	16321	Pave	NAmes	1957	1997	Y	Y	Normal	207500
30	60	6324	Pave	BrkSide	1927	1950	N	Y	Normal	68500
31	50	8500	Pave	IDOTRR	1920	1950	N	N	Normal	40000
